aX,aY,aZ,gX,gY,gZ
1.964,-0.459,0.816,-13.672,50.903,90.942
2.147,-0.491,0.604,-12.024,55.786,132.751
2.285,-0.540,0.460,-7.141,56.274,175.476
2.299,-0.595,0.275,-1.160,56.946,217.163
2.060,-0.562,0.126,6.592,47.546,255.432
1.653,-0.661,0.115,24.475,42.542,291.870
1.049,-0.679,0.257,53.589,40.894,327.148
0.362,-0.650,0.454,77.576,35.400,349.304
-0.313,-0.533,0.753,97.961,19.836,354.004
-1.073,-0.379,1.135,106.201,1.892,337.219
-1.724,-0.301,1.527,97.656,-11.780,303.040
-2.321,-0.293,1.746,87.097,-18.311,264.709
-2.676,-0.279,1.785,70.007,-17.395,221.619
-2.768,-0.314,1.727,48.828,-8.484,169.495
-2.807,-0.257,1.785,28.381,-8.301,112.427
-2.687,-0.256,1.748,9.766,-8.362,54.138
-2.195,-0.090,1.747,-8.301,-3.845,-3.662
-1.135,-0.115,1.519,-20.508,11.841,-45.044
-0.464,-0.073,1.189,-27.405,24.719,-67.688
-0.224,-0.006,1.066,-32.593,23.804,-82.642
-0.202,-0.035,1.037,-35.339,20.203,-94.604
-0.130,-0.093,0.953,-36.011,13.672,-105.408
-0.101,-0.200,0.952,-36.926,-0.305,-117.737
-0.075,-0.246,0.946,-38.025,-14.832,-129.456
-0.037,-0.276,0.992,-38.574,-24.658,-135.864
-0.023,-0.269,1.048,-37.659,-28.503,-139.465
-0.027,-0.245,1.019,-38.330,-28.503,-140.442
-0.068,-0.236,0.959,-38.940,-28.137,-142.090
-0.151,-0.210,0.969,-38.757,-29.053,-146.179
-0.216,-0.250,1.014,-37.720,-30.823,-154.114
-0.204,-0.279,1.005,-37.781,-31.860,-164.673
-0.136,-0.252,0.955,-39.917,-30.334,-173.401
-0.027,-0.258,0.881,-40.100,-27.039,-180.115
0.067,-0.203,0.875,-39.001,-25.391,-184.326
0.242,-0.183,0.859,-37.537,-21.606,-184.937
0.350,-0.143,0.801,-35.522,-18.494,-182.251
0.491,-0.067,0.736,-32.288,-17.334,-177.734
0.657,-0.106,0.740,-28.137,-16.113,-171.936
0.810,-0.082,0.754,-24.109,-14.526,-163.330
0.937,-0.053,0.678,-21.240,-11.230,-150.635
1.058,-0.005,0.622,-17.212,-7.996,-134.583
1.162,-0.005,0.635,-11.108,-5.493,-116.028
1.248,0.011,0.627,-6.226,-2.502,-97.778
1.299,0.025,0.576,-1.038,0.061,-74.280
1.318,0.053,0.563,5.005,1.343,-50.354
1.301,0.055,0.554,12.329,2.502,-28.198
1.204,0.060,0.566,19.897,2.930,-6.714
0.927,0.042,0.700,27.893,0.488,11.780
0.531,-0.018,0.916,33.997,-6.042,22.217
0.164,-0.043,1.027,34.851,-12.451,25.085
-0.111,-0.041,1.084,32.227,-16.235,23.254
-0.254,-0.052,1.128,28.931,-16.846,18.921
-0.306,-0.058,1.124,25.452,-13.367,14.893
-0.310,-0.051,1.089,22.034,-8.179,10.559
-0.274,-0.032,1.089,19.836,-3.906,5.981
-0.159,-0.047,1.105,19.165,-1.099,1.587
0.005,-0.055,1.066,17.822,1.648,-3.235
0.180,-0.052,0.998,16.174,3.845,-5.188
0.305,-0.047,0.960,14.893,3.845,-5.005
0.360,-0.053,0.957,13.977,2.258,-2.991
0.342,-0.049,0.951,12.939,0.488,0.061
0.268,-0.041,0.960,12.207,-1.953,2.319
0.187,-0.045,0.997,12.024,-4.028,3.235
0.127,-0.055,1.027,12.390,-5.249,3.357
0.088,-0.062,1.036,11.902,-5.554,2.991
0.070,-0.061,1.025,11.108,-4.944,2.930
0.065,-0.056,1.024,10.315,-4.272,2.869
0.079,-0.050,1.000,9.644,-3.662,2.136
0.103,-0.040,0.974,8.545,-3.113,1.648
0.133,-0.036,0.962,8.057,-2.747,1.099
0.156,-0.035,0.954,7.874,-2.441,0.977
0.166,-0.036,0.964,7.874,-2.136,1.343
0.162,-0.051,0.990,8.545,-2.258,1.648
0.146,-0.058,0.997,8.484,-2.502,2.014
0.133,-0.058,0.995,7.507,-2.625,2.136
0.125,-0.057,0.999,6.592,-2.686,2.197
0.115,-0.056,1.000,6.042,-2.686,2.380
0.110,-0.053,0.998,5.432,-2.625,2.258
0.115,-0.052,0.991,5.493,-2.319,2.075
0.123,-0.046,0.975,5.188,-2.380,2.075
0.131,-0.041,0.962,4.944,-2.258,1.953
0.136,-0.037,0.954,4.639,-2.319,1.770
0.141,-0.036,0.957,4.883,-2.563,1.892
