-0.897,-1.016,3.957,-12.207,66.895,0.854
0.640,-1.864,3.049,-17.761,89.478,3.967
0.022,-2.056,3.508,-120.117,46.265,-3.784
0.094,-1.164,1.993,-185.486,93.079,32.043
-0.005,-0.651,1.666,-210.022,71.533,27.893
0.178,-0.738,1.631,-212.036,44.617,1.587
0.271,-0.546,1.139,-212.524,36.499,2.869
0.255,-0.318,0.551,-215.637,27.161,5.310
0.168,0.349,0.177,-197.693,14.832,7.263
0.250,0.088,0.110,-190.552,3.052,0.244
0.244,0.270,-0.304,-182.800,0.061,1.343
0.254,0.080,-0.626,-157.776,-1.892,8.179
0.060,1.193,-0.942,-49.866,-9.705,13.916
0.053,1.707,-1.172,49.255,-34.790,0.977
-0.079,0.765,-0.880,33.875,-51.453,-30.457
0.024,1.253,-0.751,29.968,-46.082,-34.851
0.042,0.830,-0.586,11.047,-33.325,-32.166
0.015,1.161,-0.578,42.725,-29.663,-18.433
-0.076,1.136,-0.435,53.772,-22.522,-5.249
-0.129,0.856,-0.214,62.744,-12.939,2.075
-0.145,0.733,-0.078,77.271,-3.662,13.916
-0.152,0.671,-0.105,81.055,2.258,21.423
-0.229,0.773,-0.177,96.680,-1.831,20.081
-0.312,0.573,0.179,117.737,-11.047,7.690
-0.291,0.110,0.644,133.240,-19.348,0.061
-0.297,0.055,0.697,132.141,-23.682,2.991
-0.237,0.056,0.636,133.057,-26.123,0.305
-0.042,-0.069,0.850,139.282,-20.264,-7.629
0.124,-0.143,0.772,147.278,-6.531,-12.024
0.305,-0.058,0.578,150.391,14.648,-4.700
0.286,-0.038,0.553,158.203,28.992,6.042
0.166,-0.060,0.597,166.260,29.785,15.625
0.093,-0.161,0.605,170.959,25.452,13.245
0.044,-0.256,0.709,166.870,13.855,11.719
0.027,-0.314,1.071,140.564,11.475,5.188
0.135,-0.534,1.119,130.981,1.099,-3.357
0.352,-1.096,1.682,107.056,-25.208,-4.700
0.393,-4.000,4.000,93.750,-98.328,3.967
-0.993,1.092,2.102,-65.002,-90.759,42.358
0.376,-0.081,-1.945,-117.615,108.887,-75.928
-1.415,-2.758,4.000,-103.638,-115.784,-68.909
0.178,0.043,-0.829,-39.734,2.502,-33.142
-0.423,1.148,1.043,106.506,-9.155,-20.020
0.001,0.165,1.105,-20.508,8.484,-20.081
0.282,-0.547,0.839,-101.196,44.983,-18.738
0.389,-0.056,0.491,-23.437,39.124,32.410
0.288,0.301,0.808,19.653,19.104,49.438
0.133,-0.431,1.005,0.061,-2.808,23.376
-0.047,-0.172,1.000,7.996,-23.315,2.625
