1.774,-0.598,0.938,14.709,54.077,34.058
2.007,-0.779,0.869,7.935,63.660,73.608
2.250,-0.719,0.509,5.188,65.247,129.456
2.336,-0.666,0.130,13.550,66.162,187.195
2.089,-0.716,0.101,33.203,53.467,231.262
1.772,-0.734,-0.016,53.223,45.288,269.897
1.271,-0.696,0.020,75.806,36.377,301.147
0.732,-0.700,0.224,97.107,22.888,321.045
0.125,-0.670,0.517,111.023,5.066,325.439
-0.507,-0.496,0.826,115.479,-16.541,314.941
-1.102,-0.432,1.215,112.305,-37.964,289.307
-1.731,-0.340,1.598,102.905,-51.941,252.808
-2.305,-0.243,1.931,88.684,-59.021,209.290
-2.707,-0.237,2.086,71.838,-56.763,156.677
-2.874,-0.265,2.037,51.147,-43.152,96.619
-2.829,-0.328,2.008,31.738,-27.100,36.743
-2.304,-0.327,1.918,14.832,-10.803,-16.846
-1.528,-0.392,1.733,-1.709,1.709,-55.786
-1.194,-0.339,1.477,-21.973,13.306,-88.196
-0.975,-0.459,1.386,-39.551,27.954,-119.690
-0.845,-0.588,1.327,-54.932,21.790,-152.222
-0.687,-0.736,1.235,-67.932,11.169,-181.213
-0.556,-0.825,1.135,-78.552,1.587,-206.238
-0.335,-0.871,1.039,-86.670,-4.395,-225.891
-0.134,-0.841,0.906,-91.492,-7.446,-240.662
0.043,-0.783,0.740,-93.445,-7.690,-248.657
0.175,-0.626,0.621,-90.576,-5.371,-251.343
0.314,-0.578,0.565,-83.740,-4.944,-253.174
0.486,-0.517,0.517,-75.745,-4.761,-252.014
0.658,-0.444,0.432,-67.505,-5.127,-247.559
0.864,-0.318,0.362,-58.655,-5.249,-239.685
1.043,-0.218,0.264,-48.645,-4.272,-227.051
1.204,-0.055,0.182,-38.086,-1.160,-209.229
1.370,0.052,0.234,-24.475,2.197,-187.866
1.578,0.063,0.350,-10.193,5.920,-164.856
1.783,0.020,0.417,0.366,10.986,-138.000
1.960,-0.050,0.520,10.620,16.357,-105.530
2.049,-0.179,0.616,21.729,19.531,-69.153
1.976,-0.302,0.677,30.396,20.264,-30.579
1.470,-0.313,0.821,35.339,13.550,2.380
0.723,-0.359,1.131,37.170,-2.136,18.677
0.224,-0.397,1.334,32.837,-15.137,22.034
-0.046,-0.337,1.292,22.400,-17.090,22.278
-0.114,-0.267,1.174,16.052,-14.771,22.461
-0.078,-0.228,1.058,14.404,-9.705,22.217
-0.035,-0.181,0.958,12.939,-4.150,20.996
0.011,-0.134,0.906,12.573,-1.160,18.494
0.056,-0.148,0.929,12.756,-0.183,13.977
0.100,-0.170,0.951,12.329,-1.099,8.972
0.122,-0.179,0.953,11.292,-1.953,4.883
0.154,-0.180,0.961,10.071,-2.380,1.953
0.184,-0.190,0.968,9.338,-2.563,-0.061
0.205,-0.194,0.962,8.667,-2.625,-0.793
0.217,-0.191,0.968,8.362,-2.930,-0.610
0.228,-0.207,0.989,8.728,-3.296,0.000
0.218,-0.213,0.997,8.667,-2.991,1.038
0.209,-0.216,0.996,8.423,-1.953,2.136
0.202,-0.219,1.001,7.751,-0.793,2.869
0.197,-0.221,1.001,6.470,0.549,3.296
0.186,-0.214,0.978,4.700,1.648,3.357
0.188,-0.193,0.959,3.174,2.014,3.113
0.204,-0.181,0.939,2.380,1.587,2.319
0.224,-0.172,0.916,1.770,1.282,1.648
0.238,-0.166,0.902,1.526,0.610,0.854
0.238,-0.162,0.901,1.648,-0.366,0.549
0.229,-0.164,0.905,1.953,-1.526,0.488
0.218,-0.167,0.914,2.319,-2.136,0.671
0.212,-0.170,0.922,2.991,-2.197,0.732
0.211,-0.172,0.928,3.601,-2.258,0.732
0.212,-0.174,0.931,4.272,-2.075,1.099
0.210,-0.175,0.936,4.822,-1.953,1.404
0.213,-0.180,0.946,5.432,-1.709,1.526
0.215,-0.187,0.954,5.615,-1.160,1.770
0.216,-0.193,0.958,5.859,-0.793,1.953
0.214,-0.191,0.951,5.432,-0.916,2.197
0.213,-0.183,0.940,5.005,-1.282,2.258
0.213,-0.175,0.928,4.700,-1.709,2.075
0.214,-0.172,0.921,4.395,-1.892,1.892
0.214,-0.172,0.919,4.272,-2.014,1.709
0.211,-0.171,0.921,4.211,-2.197,1.404
0.208,-0.170,0.923,4.272,-2.441,1.465
0.208,-0.171,0.925,4.517,-2.563,1.343
0.207,-0.173,0.929,4.578,-2.502,1.404
0.212,-0.181,0.944,4.944,-2.197,1.465
0.212,-0.188,0.949,5.005,-1.831,1.648
0.208,-0.185,0.943,4.944,-1.526,1.892
0.203,-0.178,0.935,4.883,-1.465,2.014
0.202,-0.176,0.932,4.883,-1.282,2.258
0.199,-0.172,0.925,5.127,-1.343,2.319
0.198,-0.168,0.920,5.371,-1.221,2.075
0.199,-0.170,0.925,5.493,-1.160,2.075
0.201,-0.174,0.927,5.798,-1.038,2.014
0.199,-0.174,0.925,5.737,-0.977,1.770
0.199,-0.175,0.929,5.920,-1.221,1.465
0.202,-0.178,0.936,5.859,-1.343,1.282
0.202,-0.183,0.940,5.920,-1.221,1.099
0.200,-0.184,0.942,5.859,-1.282,1.099
0.199,-0.182,0.941,5.859,-1.221,1.099
0.199,-0.179,0.931,5.798,-1.099,1.038
0.200,-0.173,0.924,5.981,-1.038,1.099
0.202,-0.172,0.928,6.226,-0.916,1.282
0.206,-0.181,0.939,6.897,-0.610,1.343
0.209,-0.189,0.945,6.897,-0.488,1.099
0.207,-0.189,0.942,6.836,-0.549,1.282
0.208,-0.187,0.942,6.409,-0.732,1.221
0.204,-0.186,0.938,6.042,-0.732,1.221
0.199,-0.181,0.930,5.859,-0.793,1.160
0.198,-0.181,0.934,5.798,-1.099,1.038
0.198,-0.183,0.936,5.676,-1.038,0.854
0.199,-0.183,0.934,5.737,-1.038,0.854
0.200,-0.182,0.934,5.737,-1.099,0.977
0.202,-0.182,0.936,5.798,-1.160,0.854
0.204,-0.182,0.935,5.798,-0.916,0.854
0.205,-0.185,0.938,5.981,-0.793,1.038
0.207,-0.189,0.943,5.981,-0.671,0.977
0.210,-0.191,0.946,5.737,-0.671,0.977
0.207,-0.193,0.948,5.676,-0.488,1.038
0.203,-0.191,0.943,5.371,-0.366,1.038
0.202,-0.187,0.939,5.188,-0.488,0.916
1.879,-0.454,0.798,10.559,17.578,92.529
1.981,-0.610,0.733,17.090,20.630,132.751
1.847,-0.577,0.527,22.644,20.264,175.659
1.648,-0.595,0.462,29.663,18.433,212.891
