aX,aY,aZ,gX,gY,gZ
0.333,-0.024,0.826,2.808,-5.005,-16.113
0.195,-0.062,0.870,3.845,-15.137,-19.897
-0.009,-0.119,0.946,6.531,-21.606,-24.353
-0.139,-0.156,1.000,6.042,-20.508,-15.259
-0.232,-0.161,1.020,8.118,-14.343,-6.409
-0.237,-0.158,1.007,9.399,-8.179,4.333
-0.193,-0.171,1.025,10.681,-3.845,11.902
-0.106,-0.166,1.027,10.620,0.183,19.409
-0.017,-0.135,1.001,9.644,4.761,23.743
0.062,-0.106,0.976,8.301,6.775,23.376
0.102,-0.082,0.979,6.287,6.042,17.212
0.096,-0.104,0.986,5.066,2.991,8.545
0.054,-0.110,0.969,3.723,-0.183,2.136
0.014,-0.107,0.969,3.601,-2.014,-1.099
-0.016,-0.106,0.972,4.578,-2.747,-2.197
-0.039,-0.098,0.962,5.005,-2.686,-3.052
-0.047,-0.095,0.958,5.005,-2.258,-4.639
-0.053,-0.103,0.963,4.944,-2.380,-7.385
-0.036,-0.121,0.960,5.005,-1.953,-9.399
-0.011,-0.122,0.955,5.005,-0.793,-8.057
0.009,-0.119,0.958,5.737,0.183,-4.150
0.018,-0.114,0.956,6.836,1.160,0.366
0.023,-0.115,0.963,7.385,1.343,3.174
0.015,-0.123,0.979,7.629,0.793,4.822
0.007,-0.127,0.984,7.263,0.793,6.042
0.007,-0.119,0.982,6.836,0.793,5.554
0.009,-0.119,0.986,6.470,0.977,4.089
0.007,-0.125,0.989,5.981,0.793,2.686
-0.005,-0.130,0.995,5.493,0.427,1.770
-0.014,-0.126,0.989,5.249,0.549,1.099
-0.013,-0.122,0.980,4.944,1.221,0.183
0.000,-0.120,0.975,4.761,1.831,-0.610
0.013,-0.125,0.988,4.761,1.892,-1.038
0.018,-0.134,0.996,4.639,1.892,-0.916
0.021,-0.132,0.982,4.272,1.526,-0.244
0.017,-0.121,0.974,3.845,1.160,0.793
0.014,-0.115,0.967,3.662,0.610,1.099
0.015,-0.111,0.950,3.906,0.366,1.404
0.016,-0.106,0.949,4.028,0.183,1.770
0.015,-0.107,0.961,4.578,-0.122,2.075
0.012,-0.115,0.972,5.066,0.061,2.136
0.006,-0.120,0.979,5.066,0.366,2.380
0.004,-0.121,0.977,4.883,0.427,2.136
0.006,-0.116,0.971,4.822,0.244,1.587
0.013,-0.115,0.968,4.944,0.000,1.038
0.017,-0.120,0.978,5.005,-0.244,0.671
0.017,-0.127,0.986,5.249,-0.122,0.793
0.011,-0.129,0.985,4.944,-0.183,1.282
0.006,-0.125,0.980,4.517,-0.610,1.404
0.005,-0.121,0.976,4.211,-0.977,1.465
0.003,-0.120,0.974,4.028,-1.099,1.587
0.002,-0.116,0.967,4.456,-0.671,2.075
0.006,-0.112,0.960,4.517,-0.549,2.441
0.006,-0.108,0.956,4.822,-0.549,2.258
0.005,-0.106,0.953,4.883,-0.427,2.075
0.004,-0.110,0.959,5.066,-0.366,1.892
0.007,-0.112,0.958,5.737,-0.427,1.648
0.008,-0.116,0.965,5.859,-0.488,1.465
0.005,-0.117,0.972,5.920,-0.488,1.343
0.002,-0.120,0.975,6.042,-0.671,1.221
0.000,-0.123,0.980,6.042,-0.305,1.221
0.000,-0.127,0.983,5.676,-0.061,1.221
0.001,-0.124,0.976,5.798,-0.183,1.160
0.005,-0.119,0.971,5.554,-0.183,1.404
0.008,-0.120,0.973,5.737,-0.305,1.526
0.010,-0.119,0.967,5.920,-0.305,1.770
-1.667,-0.445,1.195,-7.263,-6.775,-64.148
-1.983,-0.636,1.170,-9.460,-11.169,-99.060
-2.101,-0.787,1.116,-13.672,-10.742,-138.489
-2.101,-0.913,0.971,-17.151,-4.395,-169.250
-1.876,-0.984,0.947,-20.386,4.089,-194.946
-1.520,-0.903,0.968,-21.057,12.268,-236.816
-1.004,-1.032,0.773,-22.766,19.348,-278.320
-0.525,-0.966,0.851,-26.733,19.287,-312.927
0.041,-0.852,0.838,-29.907,15.564,-332.336
0.626,-0.682,0.791,-33.813,15.747,-337.646
1.084,-0.408,0.812,-37.964,16.663,-329.102
1.692,-0.254,0.862,-39.734,17.639,-307.739
2.109,-0.202,0.823,-32.715,8.667,-278.931
2.576,-0.084,0.586,-31.189,-0.122,-240.662
2.821,0.071,0.601,-30.151,-3.296,-194.519
3.023,0.180,0.444,-20.081,0.549,-143.921
2.951,0.172,0.415,-10.193,1.465,-90.881
2.669,0.190,0.523,3.113,-5.310,-37.170
1.964,0.122,0.704,16.235,-5.920,1.648
1.101,0.011,0.950,26.062,-16.418,22.705
0.657,-0.100,1.089,32.349,-18.921,40.894
0.342,-0.196,1.078,37.903,-10.193,69.153
-0.020,-0.260,1.171,44.006,-0.977,104.065
-0.186,-0.471,1.266,49.255,9.644,134.460
-0.410,-0.484,1.260,49.805,22.461,166.199
-0.366,-0.436,1.185,42.236,29.114,187.805
-0.303,-0.368,1.260,35.156,17.456,183.960
-0.201,-0.336,1.320,28.015,6.409,166.016
0.006,-0.199,1.022,15.625,14.099,136.902
0.113,-0.175,1.038,1.953,2.441,101.563
0.244,-0.146,0.983,-3.845,-6.653,82.520
0.392,-0.135,0.920,-3.967,-6.531,78.735
0.556,-0.079,0.819,-2.380,-5.676,83.313
0.654,-0.096,0.808,3.113,-4.150,96.985
0.709,-0.159,0.760,12.024,5.127,120.972
0.748,-0.157,0.736,18.921,13.428,151.367
0.694,-0.200,0.743,23.193,12.634,173.218
0.552,-0.221,0.807,24.292,2.014,182.556
0.393,-0.213,0.883,22.888,-8.362,181.763
0.212,-0.223,0.915,21.423,-17.700,170.227
0.091,-0.369,0.992,18.860,-22.949,148.376
-0.180,-0.415,1.007,13.916,-19.958,129.089
-0.421,-0.388,0.962,9.216,-25.024,123.230
-0.653,-0.434,1.079,5.493,-38.635,120.850
-0.830,-0.445,1.031,6.042,-33.386,128.601
-1.012,-0.323,1.069,8.240,-20.752,150.024
-0.971,-0.344,1.048,9.766,-9.460,157.776
-1.033,-0.278,1.024,7.141,-2.686,158.081
-1.056,-0.179,1.025,3.601,-2.380,136.597
-0.952,-0.189,0.991,2.319,-7.080,100.647
-0.885,-0.190,1.016,-0.122,-12.634,68.420
-0.796,-0.169,1.002,-1.526,-13.794,35.583
-0.689,-0.150,1.016,-1.099,-10.986,12.634
-0.515,-0.122,1.047,0.916,-4.639,-1.587
-0.210,-0.112,1.029,3.174,4.761,-8.789
0.072,-0.081,0.951,5.371,14.038,-10.315
0.250,-0.035,0.901,7.385,15.625,-8.301
0.325,-0.009,0.886,8.423,11.902,-8.301
0.329,-0.005,0.889,9.155,5.920,-12.329
0.259,-0.036,0.875,9.460,-1.465,-19.836
0.102,-0.017,0.901,9.216,-11.414,-27.222
0.005,-0.120,0.917,7.019,-21.362,-41.687
-0.215,-0.045,0.949,1.892,-24.231,-44.189
-0.147,-0.312,1.004,1.099,-24.292,-47.913
-0.214,-0.149,1.038,2.991,-17.761,-29.785
-0.202,-0.174,1.026,6.409,-6.531,-4.639
-0.092,-0.205,1.031,11.475,1.648,15.259
-0.063,-0.153,1.006,14.465,10.559,37.781
0.036,-0.071,0.973,12.634,14.099,44.800
0.105,-0.062,0.962,7.690,10.254,31.677
0.137,-0.067,0.937,3.418,5.188,15.930
0.087,-0.051,0.934,2.686,0.732,8.911
0.060,-0.081,0.960,3.479,-2.563,4.028
0.003,-0.094,0.974,4.944,-2.502,1.709
-0.038,-0.102,0.978,5.859,-1.709,1.465
-0.072,-0.106,0.981,6.897,-0.732,1.526
-0.074,-0.106,0.981,6.897,-0.122,0.122
-0.051,-0.100,0.985,6.531,0.610,-2.563
-0.015,-0.102,0.977,5.920,1.770,-5.249
0.013,-0.106,0.972,5.615,2.625,-6.958
0.028,-0.108,0.964,5.371,2.136,-7.568
0.028,-0.112,0.962,4.822,1.343,-6.042
0.010,-0.114,0.968,5.005,0.732,-3.174
-0.006,-0.111,0.975,5.554,1.160,1.404
-0.014,-0.113,0.981,6.104,1.770,5.066
-0.009,-0.116,0.982,5.981,2.258,6.897
0.003,-0.112,0.975,5.676,2.197,7.263
0.000,-0.102,0.974,5.005,1.465,7.141
-0.003,-0.098,0.970,4.944,1.526,6.592
-0.008,-0.099,0.973,5.066,1.526,5.920
-0.002,-0.099,0.968,5.249,1.648,4.700
-0.004,-0.097,0.970,5.371,1.526,2.869
-0.008,-0.102,0.974,5.188,1.282,1.038
-0.016,-0.106,0.974,5.127,1.526,-0.061
-0.021,-0.103,0.970,5.371,2.258,-0.732
-0.015,-0.106,0.975,5.798,2.197,-1.282
-0.004,-0.111,0.979,5.920,2.136,-1.770
0.006,-0.113,0.974,5.554,2.075,-1.587
0.016,-0.112,0.970,5.310,1.770,-0.488
0.022,-0.104,0.966,5.188,1.465,0.671
0.026,-0.101,0.963,5.188,1.099,1.648
0.022,-0.102,0.965,5.432,0.427,2.380
0.010,-0.104,0.967,5.798,0.122,2.747
0.001,-0.104,0.970,5.859,0.061,2.869
-0.005,-0.108,0.976,6.104,0.183,2.747
-0.007,-0.113,0.984,6.470,0.549,2.502
-0.005,-0.110,0.980,6.226,0.732,2.075
-0.001,-0.110,0.981,6.042,0.427,1.526
0.003,-0.112,0.980,6.104,0.549,0.977
0.009,-0.111,0.977,5.981,0.732,0.610
0.016,-0.113,0.980,5.737,0.732,0.549
0.022,-0.117,0.987,5.920,0.427,0.427
0.022,-0.123,0.997,5.615,0.122,0.671
0.015,-0.122,0.991,5.249,0.061,1.160
0.005,-0.116,0.981,4.639,-0.183,1.282
0.005,-0.111,0.973,4.211,-0.122,1.526
0.006,-0.107,0.968,4.395,-0.183,1.953
0.005,-0.105,0.967,4.395,-0.122,2.197
0.001,-0.105,0.968,4.761,-0.183,2.380
-1.799,-0.574,1.173,3.662,-7.080,-78.735
-2.146,-0.569,1.099,0.061,-3.235,-104.614
-2.018,-0.741,0.956,-1.648,2.258,-148.682
-1.734,-0.706,1.042,-4.639,9.277,-186.890
-1.252,-0.700,0.960,-8.423,20.386,-223.083
-0.797,-0.652,0.962,-12.634,27.100,-251.343
-0.321,-0.639,0.885,-16.479,32.043,-271.545
0.107,-0.563,0.841,-17.822,35.095,-284.668
0.495,-0.527,0.762,-19.226,33.936,-288.513
0.855,-0.435,0.747,-21.912,29.724,-283.691
1.201,-0.367,0.745,-19.958,22.156,-271.179
1.474,-0.350,0.754,-17.761,12.390,-250.061
1.733,-0.217,0.753,-15.930,5.249,-221.191
1.983,-0.148,0.735,-13.062,2.319,-189.636
2.152,-0.098,0.748,-8.728,6.409,-155.762
2.199,-0.062,0.828,-4.700,3.296,-116.943
2.159,-0.059,0.848,2.319,-3.174,-75.134
1.944,-0.113,0.866,8.911,-2.075,-37.109
1.313,-0.163,0.982,14.282,-7.141,-6.104
0.427,-0.196,1.206,16.113,-20.142,13.062
-0.077,-0.204,1.210,17.639,-22.644,30.457
-0.268,-0.209,1.137,18.799,-15.808,48.035
-0.315,-0.251,1.117,19.470,-6.348,61.829
-0.240,-0.304,1.107,18.188,5.066,76.782
0.004,-0.452,1.174,15.381,14.038,91.980
-0.104,-0.066,1.133,16.052,27.161,122.559
0.233,-0.151,1.047,15.564,29.541,118.652
0.433,-0.065,1.060,3.357,12.878,69.702
0.670,-0.098,0.984,-2.869,6.470,52.917
0.831,-0.085,0.937,-6.531,0.549,49.377
0.959,-0.068,0.911,-4.761,-6.287,59.021
1.057,-0.082,0.916,-0.671,-5.676,77.148
1.083,-0.153,0.906,4.456,-4.395,99.243
1.077,-0.192,0.856,8.423,0.244,131.042
1.024,-0.206,0.786,11.047,2.808,165.161
0.881,-0.225,0.768,12.024,-3.052,188.354
0.736,-0.234,0.774,12.634,-10.681,197.876
0.629,-0.304,0.754,12.573,-15.381,197.815
0.505,-0.381,0.797,14.954,-21.240,196.533
0.194,-0.392,0.831,24.414,-26.917,213.379
0.035,-0.489,0.802,27.405,-26.672,219.971
0.125,-0.473,0.861,32.471,-37.964,212.097
-0.468,-0.544,0.847,24.109,-32.898,220.398
-0.720,-0.490,0.759,19.043,-21.484,241.150
-0.866,-0.271,0.843,4.150,-8.728,244.263
-1.119,-0.613,0.950,-4.700,-5.249,236.511
-1.129,-0.529,0.971,7.202,-11.841,203.674
-1.281,-0.388,1.009,11.536,-18.127,188.721
-1.307,-0.380,0.999,7.324,-26.184,147.766
-1.375,-0.356,1.089,2.869,-34.729,100.647
-1.336,-0.321,1.135,3.052,-30.945,61.646
-1.244,-0.332,1.155,5.127,-20.813,26.917
-1.095,-0.289,1.145,6.409,-10.620,0.549
-0.807,-0.242,1.214,7.507,-1.709,-19.287
-0.312,-0.210,1.173,8.423,10.254,-29.724
0.092,-0.162,1.033,8.423,22.522,-27.039
0.341,-0.050,0.938,7.996,26.611,-18.982
0.467,-0.010,0.870,7.568,23.193,-15.625
0.412,0.099,0.800,5.859,12.268,-20.508
0.296,0.060,0.802,5.920,-5.737,-38.391
0.267,-0.146,0.837,1.099,-24.292,-61.157
-0.058,0.090,0.923,3.052,-27.649,-49.194
-0.046,-0.261,0.976,7.263,-27.832,-49.438
-0.221,-0.168,1.006,6.470,-20.447,-34.912
-0.282,-0.170,1.029,4.578,-11.414,-12.634
-0.239,-0.170,1.035,12.390,-4.333,3.784
-0.155,-0.236,1.015,23.132,3.662,37.781
-0.085,-0.176,0.959,23.987,12.329,60.791
-0.010,-0.025,1.001,13.794,12.207,54.932
0.049,-0.083,0.960,3.235,11.292,20.874
0.082,-0.100,0.968,-1.770,8.423,6.287
0.075,-0.095,0.965,-0.061,5.859,3.113
0.061,-0.081,0.957,1.648,2.441,2.197
0.019,-0.095,0.960,2.441,0.916,-1.587
-0.023,-0.103,0.978,4.028,0.610,-2.258
-0.044,-0.110,0.985,6.409,2.502,-0.671
-0.052,-0.111,0.990,7.202,3.906,-1.099
-0.051,-0.109,0.989,6.653,4.089,-5.249
-0.046,-0.105,0.975,5.310,3.784,-10.925
-0.022,-0.097,0.965,3.296,2.747,-18.188
-0.003,-0.138,0.966,2.441,1.160,-24.414
0.001,-0.147,0.967,2.258,0.732,-20.813
0.002,-0.134,0.969,2.869,2.441,-10.498
0.009,-0.120,0.964,5.127,4.578,-0.549
0.025,-0.136,0.958,6.775,5.615,7.141
0.017,-0.123,0.981,7.263,5.310,13.000
0.013,-0.122,0.991,6.531,4.700,14.648
0.004,-0.106,0.982,5.493,5.005,13.367
0.006,-0.115,0.981,4.700,4.639,10.254
0.001,-0.111,0.984,4.028,3.418,6.958
-0.002,-0.109,0.977,3.601,2.502,3.784
-0.004,-0.105,0.969,3.662,2.380,1.221
-0.006,-0.105,0.968,3.845,2.686,-0.366
-0.004,-0.104,0.961,4.333,3.418,-1.160
0.001,-0.100,0.957,4.639,3.723,-2.075
0.010,-0.102,0.961,4.944,3.113,-3.357
0.026,-0.109,0.963,5.249,2.441,-4.822
0.036,-0.116,0.958,5.005,2.014,-4.822
0.033,-0.108,0.955,4.822,1.587,-2.869
0.027,-0.112,0.959,5.432,1.038,-0.488
0.021,-0.117,0.972,5.920,0.610,1.648
0.011,-0.125,0.984,6.226,0.427,2.747
0.006,-0.127,0.983,5.981,0.244,3.235
-0.002,-0.121,0.984,5.432,0.244,3.906
-0.008,-0.115,0.980,5.310,0.610,4.517
-0.006,-0.117,0.985,5.432,1.099,4.150
-0.003,-0.121,0.989,5.493,1.526,2.747
0.002,-0.120,0.981,5.066,1.526,1.282
0.011,-0.116,0.976,4.639,1.221,0.122
0.021,-0.115,0.976,4.822,1.099,-0.671
0.020,-0.119,0.977,4.883,1.160,-0.610
0.019,-0.117,0.975,4.761,0.916,-0.427
0.016,-0.118,0.975,4.395,0.549,-0.488
0.012,-0.122,0.977,4.395,0.305,-0.427
0.006,-0.120,0.976,4.395,-0.061,0.610
0.001,-0.117,0.972,4.456,0.000,1.648
0.001,-0.111,0.965,4.639,0.366,2.075
0.003,-0.110,0.965,4.700,0.488,2.075
0.008,-0.113,0.966,4.761,0.305,1.892
-1.544,-0.469,1.222,-6.897,-11.292,-80.566
-1.689,-0.502,1.152,-5.371,-8.301,-98.267
-1.911,-0.667,1.247,-8.545,-6.226,-122.192
-1.943,-0.665,1.047,-9.521,8.667,-142.029
-1.672,-0.779,1.031,-13.611,14.038,-174.377
-1.359,-0.671,0.961,-17.334,20.752,-216.736
-0.889,-0.735,0.883,-21.606,23.621,-254.150
-0.488,-0.671,0.852,-24.414,24.963,-281.860
-0.082,-0.666,0.838,-26.855,23.560,-298.645
0.308,-0.640,0.846,-26.733,23.621,-304.993
0.614,-0.641,0.748,-26.428,21.301,-303.650
1.011,-0.527,0.749,-28.259,17.761,-294.922
1.399,-0.456,0.785,-26.672,12.878,-277.405
1.728,-0.318,0.798,-25.940,0.916,-251.770
2.068,-0.151,0.746,-26.184,-4.211,-218.689
2.286,-0.065,0.689,-23.071,-4.089,-182.861
2.332,0.027,0.688,-17.944,-2.502,-143.616
2.417,-0.051,0.658,-10.681,5.310,-104.492
2.190,0.030,0.769,-1.221,0.549,-59.387
1.923,-0.027,0.802,7.385,-5.066,-19.592
1.174,-0.118,1.056,13.672,-12.085,7.446
0.586,-0.152,1.194,16.357,-21.606,25.024
0.289,-0.184,1.185,18.555,-16.968,49.805
0.173,-0.226,1.171,20.996,-8.118,76.965
0.173,-0.260,1.163,23.315,2.991,101.257
0.213,-0.308,1.111,23.926,13.306,123.352
0.361,-0.245,1.048,20.752,17.639,143.372
0.545,-0.213,1.055,19.104,15.015,156.555
0.711,-0.149,0.996,18.433,15.381,160.095
0.836,-0.172,0.884,15.320,16.479,152.771
0.829,-0.190,0.807,10.315,8.545,147.583
0.808,-0.198,0.785,8.423,1.709,150.574
0.724,-0.209,0.812,10.986,-4.089,161.560
0.592,-0.276,0.782,15.930,-6.409,176.392
0.436,-0.307,0.740,19.531,-5.310,195.251
0.356,-0.334,0.743,22.827,-3.418,213.501
0.221,-0.357,0.803,24.048,-4.272,227.783
0.054,-0.374,0.828,25.208,-9.888,231.079
-0.139,-0.354,0.834,23.682,-15.015,226.074
-0.398,-0.363,0.911,21.667,-21.362,210.266
-0.649,-0.421,0.942,19.348,-25.635,187.805
-0.828,-0.415,0.968,14.587,-23.987,167.664
-0.976,-0.410,1.042,12.390,-20.569,152.405
-1.071,-0.405,1.057,11.902,-20.020,146.790
-1.097,-0.400,1.029,11.353,-18.066,136.780
-1.105,-0.327,1.042,8.667,-17.761,123.047
-1.029,-0.308,1.041,7.935,-11.658,105.835
-0.962,-0.236,1.057,6.470,-10.376,87.280
-0.868,-0.214,1.044,5.249,-8.240,62.866
-0.784,-0.181,1.065,4.944,-7.812,37.537
-0.671,-0.174,1.107,4.944,-6.531,16.602
-0.491,-0.157,1.111,5.981,-0.854,1.038
-0.196,-0.142,1.067,6.897,5.493,-8.545
0.075,-0.099,1.001,7.202,11.292,-10.559
0.221,-0.049,0.955,6.714,12.695,-9.888
0.287,-0.030,0.891,5.798,9.094,-13.000
0.277,-0.014,0.872,6.042,1.404,-18.372
0.151,0.075,0.889,5.310,-8.423,-26.550
0.138,-0.178,0.918,4.089,-18.921,-43.518
-0.052,0.038,0.950,0.610,-22.461,-42.114
-0.091,-0.285,0.976,3.357,-23.437,-41.382
-0.174,-0.121,0.995,2.930,-16.907,-20.142
-0.192,-0.137,1.005,6.531,-8.362,-3.540
-0.152,-0.156,1.008,10.193,-3.174,7.263
-0.077,-0.156,0.977,13.245,2.258,23.315
-0.063,-0.105,0.970,13.367,6.592,34.729
-0.028,-0.069,0.966,11.230,7.690,33.386
0.003,-0.073,0.972,7.996,6.592,23.437
0.005,-0.095,0.981,5.310,4.272,11.597
-0.003,-0.078,0.989,4.089,2.625,5.676
-0.003,-0.095,0.991,4.028,2.319,1.770
-0.000,-0.100,0.985,4.761,2.991,-0.122
0.000,-0.094,0.970,5.310,4.028,-0.671
-0.008,-0.084,0.958,5.798,4.517,-1.648
-0.015,-0.080,0.955,5.981,4.700,-3.479
-0.016,-0.086,0.967,5.981,4.456,-6.042
-0.016,-0.097,0.972,5.798,3.784,-9.521
-0.009,-0.124,0.973,5.310,3.052,-11.841
-0.022,-0.111,0.974,4.211,2.869,-10.620
-0.013,-0.115,0.977,4.150,3.174,-7.751
-0.004,-0.116,0.979,4.822,4.272,-3.967
0.008,-0.111,0.973,5.554,5.371,0.427
0.027,-0.111,0.957,5.615,6.042,3.479
0.015,-0.084,0.948,5.676,5.859,5.737
0.024,-0.089,0.950,5.981,5.554,5.920
0.024,-0.091,0.959,6.226,5.432,5.066
0.030,-0.096,0.958,6.409,5.310,4.028
0.028,-0.093,0.974,6.531,4.395,3.113
0.028,-0.105,0.990,6.592,4.028,1.465
0.021,-0.110,0.983,6.287,3.906,0.061
0.020,-0.107,0.978,5.798,3.601,-0.854
0.016,-0.108,0.988,5.676,3.235,-1.282
0.015,-0.108,0.983,5.493,2.991,-1.770
0.014,-0.111,0.979,5.371,2.930,-2.075
0.011,-0.110,0.977,5.005,2.747,-1.892
0.011,-0.109,0.974,5.066,2.625,-1.221
0.015,-0.106,0.968,5.005,2.747,-0.244
0.015,-0.103,0.964,5.127,2.686,0.610
0.012,-0.099,0.965,5.127,2.319,0.977
0.010,-0.101,0.970,5.493,2.441,0.793
0.009,-0.101,0.968,5.798,2.563,0.793
0.009,-0.102,0.973,5.859,2.747,0.671
0.015,-0.109,0.983,6.104,2.625,0.366
0.021,-0.113,0.984,5.920,2.869,-0.061
0.026,-0.109,0.976,5.615,2.808,-0.366
0.031,-0.109,0.977,5.371,2.747,-0.854
0.034,-0.112,0.984,5.554,2.319,-1.038
0.036,-0.112,0.974,5.493,2.686,-0.793
0.036,-0.107,0.967,4.883,2.686,-0.671
0.036,-0.107,0.973,4.761,2.258,-0.488
0.034,-0.112,0.984,5.127,1.709,-0.061
0.032,-0.115,0.984,4.883,1.648,0.427
0.030,-0.110,0.975,4.700,1.343,0.854
0.031,-0.104,0.968,4.517,1.465,0.977
0.031,-0.101,0.966,4.333,1.404,1.038
0.028,-0.102,0.964,4.517,1.343,1.282
0.023,-0.101,0.966,4.761,1.221,1.404
0.022,-0.104,0.970,5.188,1.221,1.404
0.024,-0.107,0.966,5.249,1.282,1.221
-1.189,-0.413,1.146,-0.061,-16.235,-69.153
-1.363,-0.481,1.106,-2.014,-10.559,-85.510
-1.554,-0.544,1.017,-4.944,-7.935,-103.699
-1.586,-0.671,1.029,-7.263,-6.592,-125.305
-1.517,-0.728,1.039,-7.690,-3.601,-164.185
-1.333,-0.807,0.998,-11.414,3.113,-200.439
-1.081,-0.813,0.971,-16.663,7.446,-234.436
-0.791,-0.836,0.955,-21.729,7.935,-260.437
-0.462,-0.800,0.938,-23.437,9.338,-280.701
-0.025,-0.769,0.957,-25.085,9.033,-294.006
0.459,-0.674,0.835,-27.283,10.925,-296.814
0.840,-0.413,0.868,-31.738,9.705,-289.001
1.336,-0.308,0.869,-31.616,8.423,-274.292
1.743,-0.126,0.859,-30.518,1.770,-250.305
2.099,0.037,0.776,-31.494,-5.188,-218.933
2.303,0.117,0.654,-27.771,-8.545,-183.044
2.392,0.240,0.649,-22.400,-8.057,-143.311
2.426,0.287,0.656,-14.038,1.343,-100.220
2.282,0.242,0.618,-2.625,7.568,-56.274
1.926,0.199,0.633,8.301,-0.061,-14.343
1.167,0.069,0.825,19.226,-6.104,11.292
0.532,-0.027,1.003,25.818,-14.893,28.015
0.158,-0.100,1.083,30.457,-8.606,50.964
-0.083,-0.186,1.136,35.522,0.671,76.660
-0.235,-0.318,1.188,39.612,12.512,98.328
-0.291,-0.368,1.214,38.513,22.766,115.234
-0.224,-0.401,1.170,33.081,26.855,127.441
-0.034,-0.362,1.262,26.367,20.386,135.193
0.146,-0.181,1.116,22.095,25.696,142.029
0.532,-0.185,1.165,15.076,23.437,136.047
0.622,-0.057,1.020,9.521,25.146,112.854
0.890,-0.100,0.890,1.160,19.409,93.201
1.033,-0.075,0.840,2.808,14.771,96.008
1.094,-0.109,0.792,9.583,11.047,109.497
1.059,-0.143,0.729,18.127,10.742,132.935
1.007,-0.210,0.687,24.414,11.047,164.001
0.864,-0.243,0.709,28.931,8.850,194.214
0.696,-0.294,0.713,30.701,1.038,215.027
0.458,-0.239,0.782,30.579,-8.240,223.755
0.143,-0.306,0.834,29.053,-17.029,215.637
-0.083,-0.469,0.951,28.137,-20.569,194.702
-0.441,-0.475,0.926,25.757,-15.259,180.603
-0.753,-0.491,0.913,19.226,-21.729,171.753
-0.908,-0.243,1.081,7.751,-35.767,158.264
-1.204,-0.761,1.057,14.221,-36.560,143.005
-1.369,-0.445,1.106,13.062,-22.583,170.654
-1.368,-0.406,1.082,16.968,-8.118,171.875
-1.321,-0.432,1.098,10.193,-4.456,156.433
-1.231,-0.296,1.048,9.705,-1.404,134.155
-1.289,-0.090,1.113,7.690,-4.883,108.032
-1.003,-0.194,1.046,4.150,-6.042,56.091
-0.801,-0.166,1.134,2.930,-7.812,9.094
-0.385,-0.112,1.085,2.625,-0.854,-13.184
0.037,-0.102,1.016,4.028,9.399,-25.513
0.314,-0.092,0.964,6.653,15.747,-24.780
0.447,-0.037,0.907,9.277,19.104,-13.855
0.430,0.014,0.865,10.498,13.367,-8.667
0.350,0.078,0.848,10.254,1.770,-14.709
0.229,-0.017,0.859,12.573,-13.062,-33.752
-0.034,-0.076,0.917,12.634,-26.245,-47.791
-0.129,-0.071,0.998,7.263,-31.982,-58.716
-0.231,-0.233,0.969,6.470,-33.630,-78.247
-0.189,-0.238,1.043,1.282,-25.146,-57.556
-0.172,-0.219,1.069,2.258,-15.198,-38.391
-0.143,-0.194,1.046,5.859,-5.310,-7.874
0.019,-0.235,1.009,13.977,3.479,21.667
0.036,-0.166,0.980,17.883,12.024,51.270
0.106,-0.036,0.959,13.123,13.611,57.434
0.067,-0.087,0.957,5.676,8.118,33.875
0.055,-0.047,0.925,3.052,4.028,23.193
0.014,-0.093,0.967,2.869,-0.854,14.709
-0.044,-0.059,0.986,2.991,-1.282,10.803
-0.039,-0.111,0.973,4.028,-0.488,6.836
-0.053,-0.109,0.987,5.310,1.648,5.432
-0.048,-0.112,0.982,6.042,3.540,5.920
-0.035,-0.097,0.969,6.348,4.089,3.784
-0.015,-0.093,0.970,5.737,3.967,-1.465
0.003,-0.097,0.966,5.554,4.028,-5.737
0.011,-0.100,0.969,5.554,3.723,-9.705
0.018,-0.103,0.953,5.005,2.502,-12.695
0.046,-0.135,0.969,4.028,0.977,-13.977
0.023,-0.125,0.990,4.028,0.122,-11.353
0.016,-0.142,0.990,4.700,0.427,-5.371
0.003,-0.127,0.986,5.371,2.014,0.610
0.006,-0.123,0.975,5.737,3.052,4.700
0.010,-0.116,0.972,5.188,2.869,6.714
0.009,-0.113,0.966,4.822,2.319,7.812
-0.004,-0.104,0.967,4.822,2.258,8.911
0.005,-0.105,0.969,4.822,2.991,9.155
0.008,-0.097,0.971,4.822,3.479,7.812
0.026,-0.101,0.967,4.700,3.479,5.859
0.024,-0.097,0.966,4.700,2.441,2.686
0.019,-0.104,0.969,4.517,1.770,0.122
0.018,-0.108,0.968,4.822,1.953,-1.099
0.021,-0.107,0.972,5.066,2.075,-1.465
0.025,-0.116,0.982,5.249,1.770,-1.953
0.020,-0.121,0.981,5.249,1.160,-2.380
0.010,-0.115,0.971,4.761,0.427,-2.380
0.006,-0.114,0.972,4.456,0.061,-1.770
0.009,-0.115,0.972,4.578,0.244,-0.671
0.020,-0.117,0.982,4.639,0.671,1.038
0.034,-0.120,0.976,4.700,0.854,2.258
0.032,-0.109,0.967,4.517,0.732,2.991
0.024,-0.101,0.962,4.333,0.244,3.357
0.021,-0.102,0.962,4.578,0.183,3.235
0.017,-0.103,0.961,4.944,0.732,2.808
0.015,-0.109,0.979,5.371,0.671,2.197
0.015,-0.124,0.998,5.737,0.305,1.526
